customer_id,name,age,city,signup_date
1,509,48,Hyderabad,2/23/23
2,233,49,Bengaluru,12/21/23
3,390,60,Chennai,9/25/23
4,656,45,Mumbai,8/10/23
5,260,40,Delhi,4/12/23
6,336,38,Kolkata,10/26/23
7,549,21,Hyderabad,8/29/23
8,239,29,Bengaluru,2/2/23
9,537,60,Chennai,6/16/23
10,650,44,Mumbai,4/14/23
11,824,43,Delhi,3/14/23
12,109,48,Kolkata,3/9/23
13,76,45,Hyderabad,7/15/23
14,353,26,Bengaluru,4/24/23
15,246,45,Chennai,1/9/23
16,620,59,Mumbai,5/4/23
17,353,40,Delhi,7/6/23
18,43,56,Kolkata,11/9/23
19,475,34,Hyderabad,9/7/23
20,348,50,Bengaluru,4/7/23
21,689,20,Chennai,4/14/23
22,958,52,Mumbai,12/24/23
23,550,20,Delhi,11/15/23
24,377,28,Kolkata,4/17/23
25,245,49,Hyderabad,6/21/23
26,820,33,Bengaluru,6/15/23
27,73,38,Chennai,6/12/23
28,172,58,Mumbai,4/15/23
29,307,27,Delhi,10/6/23
30,684,38,Kolkata,7/25/23
31,218,37,Hyderabad,9/28/23
32,447,18,Bengaluru,3/15/23
33,622,57,Chennai,10/31/23
34,387,38,Mumbai,5/13/23
35,508,52,Delhi,9/8/23
36,693,23,Kolkata,8/7/23
37,137,18,Hyderabad,6/9/23
38,447,44,Bengaluru,7/10/23
39,345,23,Chennai,4/18/23
40,283,27,Mumbai,5/14/23
41,748,20,Delhi,7/22/23
42,392,43,Kolkata,10/19/23
43,765,54,Hyderabad,9/9/23
44,660,42,Bengaluru,3/15/23
45,235,52,Chennai,12/3/23
46,353,29,Mumbai,11/28/23
47,9,24,Delhi,8/4/23
48,136,60,Kolkata,5/21/23
49,782,45,Hyderabad,12/17/23
50,738,18,Bengaluru,4/14/23
51,625,59,Chennai,6/29/23
52,393,30,Mumbai,5/11/23
53,80,45,Delhi,2/8/23
54,996,54,Kolkata,10/29/23
55,437,33,Hyderabad,6/29/23
56,126,40,Bengaluru,3/26/23
57,781,36,Chennai,5/10/23
58,133,59,Mumbai,1/25/23
59,414,33,Delhi,6/30/23
60,478,30,Kolkata,1/18/23
61,806,55,Hyderabad,11/3/23
62,983,29,Bengaluru,6/25/23
63,887,25,Chennai,3/7/23
64,279,50,Mumbai,5/14/23
65,538,57,Delhi,1/21/23
66,441,43,Kolkata,2/1/23
67,870,45,Hyderabad,9/30/23
68,901,59,Bengaluru,7/25/23
69,571,34,Chennai,2/12/23
70,33,57,Mumbai,9/25/23
71,140,41,Delhi,5/27/23
72,646,45,Kolkata,3/8/23
73,436,35,Hyderabad,8/29/23
74,888,36,Bengaluru,2/21/23
75,325,26,Chennai,11/5/23
76,744,38,Mumbai,12/19/23
77,999,20,Delhi,2/10/23
78,586,42,Kolkata,11/13/23
79,385,57,Hyderabad,7/13/23
80,454,23,Bengaluru,7/27/23
81,553,33,Chennai,1/23/23
82,878,53,Mumbai,9/24/23
83,663,33,Delhi,4/26/23
84,208,26,Kolkata,2/22/23
85,314,53,Hyderabad,1/6/23
86,502,56,Bengaluru,5/31/23
87,815,47,Chennai,10/27/23
88,948,52,Mumbai,1/11/23
89,643,39,Delhi,8/19/23
90,619,18,Kolkata,4/15/23
91,353,26,Hyderabad,11/22/23
92,543,43,Bengaluru,12/16/23
93,678,35,Chennai,8/8/23
94,186,20,Mumbai,1/17/23
95,850,19,Delhi,7/25/23
96,180,56,Kolkata,11/22/23
97,3,56,Hyderabad,5/17/23
98,645,52,Bengaluru,8/11/23
99,940,60,Chennai,6/18/23
100,555,43,Mumbai,6/16/23
101,685,36,Delhi,3/10/23
102,574,19,Kolkata,8/30/23
103,229,44,Hyderabad,5/23/23
104,510,21,Bengaluru,10/17/23
105,156,42,Chennai,1/30/23
106,65,58,Mumbai,8/20/23
107,714,19,Delhi,10/16/23
108,589,40,Kolkata,8/26/23
109,297,55,Hyderabad,11/10/23
110,426,47,Bengaluru,10/31/23
111,180,25,Chennai,7/26/23
112,60,26,Mumbai,1/3/23
113,494,39,Delhi,1/8/23
114,604,29,Kolkata,8/28/23
115,717,42,Hyderabad,4/12/23
116,337,54,Bengaluru,12/18/23
117,490,58,Chennai,2/19/23
118,958,43,Mumbai,9/18/23
119,923,60,Delhi,9/1/23
120,344,40,Kolkata,8/15/23
121,896,45,Hyderabad,1/31/23
122,639,40,Bengaluru,2/18/23
123,531,27,Chennai,8/15/23
124,590,21,Mumbai,10/14/23
125,10,39,Delhi,11/12/23
126,416,27,Kolkata,3/19/23
127,256,55,Hyderabad,8/13/23
128,956,31,Bengaluru,11/21/23
129,771,51,Chennai,7/8/23
130,471,40,Mumbai,9/11/23
131,389,44,Delhi,4/7/23
132,145,21,Kolkata,12/3/23
133,757,52,Hyderabad,8/4/23
134,804,38,Bengaluru,5/3/23
135,885,51,Chennai,7/30/23
136,517,43,Mumbai,9/25/23
137,233,51,Delhi,4/17/23
138,445,18,Kolkata,8/24/23
139,631,59,Hyderabad,2/7/23
140,140,28,Bengaluru,1/9/23
141,77,32,Chennai,7/16/23
142,548,59,Mumbai,7/8/23
143,149,44,Delhi,2/22/23
144,473,58,Kolkata,4/26/23
145,692,46,Hyderabad,5/25/23
146,299,34,Bengaluru,3/25/23
147,69,59,Chennai,7/8/23
148,692,56,Mumbai,1/11/23
149,813,25,Delhi,5/25/23
150,201,56,Kolkata,3/27/23
151,456,48,Hyderabad,1/22/23
152,880,22,Bengaluru,6/11/23
153,517,43,Chennai,4/17/23
154,123,51,Mumbai,8/26/23
155,837,25,Delhi,11/19/23
156,414,23,Kolkata,9/8/23
157,150,44,Hyderabad,5/25/23
158,542,33,Bengaluru,5/28/23
159,293,53,Chennai,3/2/23
160,264,54,Mumbai,2/28/23
161,122,27,Delhi,3/17/23
162,587,34,Kolkata,6/20/23
163,773,24,Hyderabad,1/1/24
164,989,49,Bengaluru,11/21/23
165,81,54,Chennai,6/21/23
166,830,58,Mumbai,3/21/23
167,722,29,Delhi,4/15/23
168,345,59,Kolkata,5/7/23
169,966,34,Hyderabad,12/21/23
170,720,33,Bengaluru,3/11/23
171,249,25,Chennai,4/22/23
172,279,24,Mumbai,7/10/23
173,122,60,Delhi,7/6/23
174,836,25,Kolkata,11/9/23
175,30,58,Hyderabad,4/24/23
176,871,50,Bengaluru,9/12/23
177,928,49,Chennai,8/25/23
178,241,40,Mumbai,6/9/23
179,123,26,Delhi,6/2/23
180,871,27,Kolkata,8/10/23
181,440,56,Hyderabad,10/23/23
182,650,39,Bengaluru,6/19/23
183,976,54,Chennai,10/7/23
184,159,20,Mumbai,1/27/23
185,61,56,Delhi,4/23/23
186,585,46,Kolkata,11/19/23
187,259,53,Hyderabad,11/2/23
188,138,53,Bengaluru,8/28/23
189,215,38,Chennai,2/10/23
190,266,24,Mumbai,1/26/23
191,540,21,Delhi,4/17/23
192,918,21,Kolkata,12/16/23
193,51,19,Hyderabad,12/9/23
194,856,25,Bengaluru,11/9/23
195,431,49,Chennai,7/4/23
196,183,47,Mumbai,5/18/23
197,385,44,Delhi,6/26/23
198,393,47,Kolkata,11/15/23
199,865,31,Hyderabad,2/13/23
200,783,57,Bengaluru,2/12/23
201,320,51,Chennai,11/23/23
202,673,21,Mumbai,9/19/23
203,269,31,Delhi,4/10/23
204,94,37,Kolkata,10/21/23
205,687,43,Hyderabad,2/17/23
206,641,36,Bengaluru,11/19/23
207,89,32,Chennai,2/25/23
208,801,20,Mumbai,3/13/23
209,105,55,Delhi,9/24/23
210,249,27,Kolkata,7/9/23
211,313,18,Hyderabad,11/8/23
212,11,53,Bengaluru,11/12/23
213,258,45,Chennai,7/15/23
214,301,58,Mumbai,2/10/23
215,335,57,Delhi,9/23/23
216,408,45,Kolkata,3/20/23
217,402,33,Hyderabad,3/30/23
218,557,31,Bengaluru,12/25/23
219,206,60,Chennai,2/17/23
220,851,22,Mumbai,5/14/23
221,385,39,Delhi,9/4/23
222,860,24,Kolkata,1/28/23
223,370,20,Hyderabad,7/6/23
224,916,20,Bengaluru,7/14/23
225,699,52,Chennai,8/11/23
226,732,42,Mumbai,5/22/23
227,441,41,Delhi,9/2/23
228,490,31,Kolkata,1/26/23
229,212,56,Hyderabad,6/26/23
230,812,58,Bengaluru,5/4/23
231,403,39,Chennai,5/24/23
232,859,48,Mumbai,6/16/23
233,536,28,Delhi,2/21/23
