order_id,customer_id,order_date,order_value,payment_status
1,97,2023-11-06,4948,Refunded
2,597,2023-11-07,7666,Failed
3,912,2023-11-08,6020,Refunded
4,932,2023-11-09,7523,Success
5,719,2023-11-10,9301,Success
6,995,2023-11-11,1822,Refunded
7,317,2023-11-12,2358,Refunded
8,563,2023-11-13,3691,Failed
9,583,2023-11-14,860,Success
10,142,2023-11-15,3318,Failed
11,349,2023-11-16,5297,Success
12,601,2023-11-17,8616,Success
13,859,2023-11-18,1735,Refunded
14,131,2023-11-19,5699,Refunded
15,174,2023-11-20,2866,Success
16,738,2023-11-21,6123,Success
17,103,2023-11-22,7976,Success
18,573,2023-11-23,2162,Refunded
19,320,2023-11-24,1571,Refunded
20,393,2023-11-25,2416,Success
21,58,2023-11-26,8546,Success
22,913,2023-11-27,3666,Failed
23,276,2023-11-28,4607,Failed
24,478,2023-11-29,6575,Failed
25,549,2023-11-30,5565,Failed
26,868,2023-12-01,5937,Failed
27,63,2023-12-02,3004,Failed
28,475,2023-12-03,812,Refunded
29,21,2023-12-04,6720,Refunded
30,185,2023-12-05,2688,Refunded
31,399,2023-12-06,7805,Refunded
32,192,2023-12-07,5017,Success
33,277,2023-12-08,2355,Success
34,720,2023-12-09,3783,Failed
35,151,2023-12-10,6108,Failed
36,905,2023-12-11,4355,Failed
37,64,2023-12-12,7083,Refunded
38,450,2023-12-13,9675,Success
39,879,2023-12-14,4301,Success
40,135,2023-12-15,8265,Failed
41,950,2023-12-16,1139,Success
42,28,2023-12-17,5274,Success
43,210,2023-12-18,7480,Failed
44,595,2023-12-19,5852,Success
45,325,2023-12-20,8042,Refunded
46,248,2023-12-21,7429,Success
47,411,2023-12-22,8487,Refunded
48,750,2023-12-23,4146,Success
49,31,2023-12-24,5611,Success
50,444,2023-12-25,5823,Refunded
51,683,2023-12-26,7376,Refunded
52,924,2023-12-27,5661,Success
53,93,2023-12-28,5804,Refunded
54,129,2023-12-29,2781,Success
55,944,2023-12-30,3751,Refunded
56,242,2023-12-31,1694,Success
57,984,2024-01-01,950,Refunded
58,495,2024-01-02,2037,Failed
59,40,2024-01-03,598,Refunded
60,634,2024-01-04,7828,Failed
61,97,2024-01-05,7857,Refunded
62,897,2024-01-06,1895,Success
63,571,2024-01-07,7152,Failed
64,556,2024-01-08,5856,Failed
65,121,2024-01-09,5157,Success
66,187,2024-01-10,9493,Failed
67,239,2024-01-11,678,Success
68,722,2024-01-12,8343,Success
69,801,2024-01-13,8028,Refunded
70,209,2024-01-14,9874,Success
71,247,2024-01-15,4983,Success
72,614,2024-01-16,6354,Failed
73,784,2024-01-17,9564,Refunded
74,752,2024-01-18,2794,Refunded
75,588,2024-01-19,5079,Success
76,32,2024-01-20,8559,Refunded
77,533,2024-01-21,580,Success
78,69,2024-01-22,2170,Success
79,65,2024-01-23,6375,Refunded
80,692,2024-01-24,8223,Failed
81,931,2024-01-25,9414,Failed
82,132,2024-01-26,5247,Refunded
83,619,2024-01-27,4686,Success
84,75,2024-01-28,3649,Failed
85,38,2024-01-29,6578,Failed
86,16,2024-01-30,3835,Refunded
87,408,2024-01-31,1695,Success
88,407,2024-02-01,5731,Refunded
89,308,2024-02-02,4532,Failed
90,687,2024-02-03,3046,Failed
91,554,2024-02-04,8010,Refunded
92,779,2024-02-05,7378,Refunded
93,161,2024-02-06,8198,Success
94,987,2024-02-07,2602,Success
95,928,2024-02-08,9256,Success
96,451,2024-02-09,9619,Refunded
97,435,2024-02-10,5841,Success
98,380,2024-02-11,1022,Success
99,480,2024-02-12,5778,Failed
100,956,2024-02-13,8854,Success
101,370,2024-02-14,7922,Refunded
102,729,2024-02-15,7238,Failed
103,297,2024-02-16,5963,Success
104,45,2024-02-17,6556,Success
105,107,2024-02-18,2210,Success
106,662,2024-02-19,4760,Refunded
107,904,2024-02-20,1289,Success
108,652,2024-02-21,2115,Success
109,364,2024-02-22,7355,Refunded
110,13,2024-02-23,2718,Success
111,604,2024-02-24,7971,Refunded
112,485,2024-02-25,4560,Refunded
113,419,2024-02-26,9734,Failed
114,350,2024-02-27,6944,Refunded
115,589,2024-02-28,6588,Success
116,55,2024-02-29,3069,Success
117,6,2024-03-01,9702,Refunded
118,47,2024-03-02,1137,Refunded
119,633,2024-03-03,6278,Failed
120,855,2024-03-04,9378,Success
121,800,2024-03-05,6413,Refunded
122,560,2024-03-06,1321,Success
123,485,2024-03-07,4542,Refunded
124,765,2024-03-08,7153,Failed
125,969,2024-03-09,3722,Success
126,649,2024-03-10,3687,Failed
127,610,2024-03-11,8902,Refunded
128,487,2024-03-12,942,Failed
129,143,2024-03-13,7646,Failed
130,204,2024-03-14,7019,Refunded
131,864,2024-03-15,7806,Failed
132,376,2024-03-16,4175,Refunded
133,884,2024-03-17,4265,Failed
134,734,2024-03-18,9664,Success
135,134,2024-03-19,7814,Refunded
136,273,2024-03-20,870,Refunded
137,770,2024-03-21,7078,Failed
138,328,2024-03-22,2577,Success
