sessio_id,customer_id,login_time,logout_time,pages_visited,
1,982,2023-11-27 07:21:00,2023-11-27 07:39:00,1,
2,720,2023-07-11 12:39:00,2023-07-11 12:58:00,11,
3,589,2023-01-02 16:32:00,2023-01-02 17:18:00,5,
4,812,2023-09-07 09:06:00,2023-09-07 11:29:00,5,
5,667,2023-07-27 10:46:00,2023-07-27 12:14:00,11,
6,651,2023-10-29 14:20:00,2023-10-29 16:49:00,9,
7,425,2023-08-11 11:37:00,2023-08-11 13:49:00,4,
8,420,2023-01-20 16:59:00,2023-01-20 18:52:00,10,
9,172,2023-06-21 17:37:00,2023-06-21 19:28:00,8,
10,263,2023-10-19 07:56:00,2023-10-19 08:54:00,1,
11,453,2023-11-30 02:21:00,2023-11-30 05:06:00,8,
12,634,2023-11-18 11:44:00,2023-11-18 14:40:00,3,
13,94,2023-01-25 07:26:00,2023-01-25 07:42:00,11,
14,9,2023-05-26 03:51:00,2023-05-26 04:47:00,9,
15,276,2023-07-25 03:48:00,2023-07-25 06:41:00,6,
16,33,2023-08-18 04:55:00,2023-08-18 06:52:00,11,
17,744,2023-06-12 12:37:00,2023-06-12 14:26:00,15,
18,562,2023-05-24 00:18:00,2023-05-24 02:47:00,6,
19,523,2023-10-18 04:37:00,2023-10-18 06:46:00,15,
20,542,2023-02-28 00:10:00,2023-02-28 01:49:00,13,
21,641,2023-07-14 23:33:00,2023-07-15 00:09:00,7,
22,797,2023-09-26 08:33:00,2023-09-26 10:13:00,16,
23,617,2023-07-06 01:42:00,2023-07-06 03:43:00,8,
24,221,2023-09-03 00:32:00,2023-09-03 02:00:00,19,
25,977,2023-01-04 23:45:00,2023-01-04 23:57:00,8,
26,757,2023-04-04 23:18:00,2023-04-05 02:09:00,17,
27,173,2023-08-02 06:19:00,2023-08-02 07:08:00,9,
28,833,2023-12-21 15:01:00,2023-12-21 15:34:00,17,
29,763,2023-11-02 21:24:00,2023-11-03 00:19:00,3,
30,541,2023-04-30 02:48:00,2023-04-30 04:01:00,12,
31,65,2023-08-20 08:30:00,2023-08-20 08:34:00,17,
32,709,2023-05-21 01:05:00,2023-05-21 01:57:00,7,
33,9,2023-10-11 01:24:00,2023-10-11 02:09:00,19,
34,893,2023-09-07 17:10:00,2023-09-07 18:00:00,18,
35,86,2023-09-14 13:21:00,2023-09-14 15:04:00,17,
36,469,2023-12-07 15:55:00,2023-12-07 18:20:00,1,
37,846,2023-11-16 01:56:00,2023-11-16 02:33:00,19,
38,986,2023-05-17 11:30:00,2023-05-17 12:28:00,4,
39,571,2023-03-17 22:03:00,2023-03-17 22:57:00,13,
40,780,2023-05-01 19:24:00,2023-05-01 22:16:00,3,
41,950,2023-05-22 10:00:00,2023-05-22 11:26:00,15,
42,434,2023-07-30 16:21:00,2023-07-30 19:02:00,3,
43,236,2023-09-04 21:29:00,2023-09-04 23:54:00,16,
44,744,2023-08-10 23:14:00,2023-08-11 01:24:00,8,
45,926,2023-09-23 09:04:00,2023-09-23 10:58:00,9,
46,540,2023-11-11 10:38:00,2023-11-11 12:12:00,7,
