ticket_id,customer_id,issue_type,resolution_time,satisfaction_score
1,129,Delivery,28,3
2,437,Product,19,5
3,636,Product,59,3
4,464,Delivery,49,3
5,268,Product,36,2
6,350,Payment,63,4
7,13,Payment,7,5
8,735,Product,15,4
9,67,Payment,48,1
10,196,Delivery,19,3
11,909,Payment,35,5
12,549,Delivery,8,5
13,934,Payment,21,5
14,55,Payment,5,3
15,670,Payment,28,4
16,853,Product,46,2
17,590,Delivery,41,1
18,993,Product,68,4
19,716,Delivery,1,5
20,329,Payment,5,1
21,417,Product,42,3
22,920,Payment,6,1
23,388,Payment,8,4
24,211,Payment,44,2
25,897,Product,7,4
26,64,Product,38,5
27,938,Product,56,4
28,430,Payment,23,4
29,497,Payment,43,4
30,267,Payment,42,2
31,85,Payment,58,5
32,741,Delivery,63,2
33,192,Payment,32,2
34,602,Product,22,3
35,525,Delivery,22,4
36,233,Payment,58,3
37,879,Payment,48,3
38,744,Payment,4,1
39,280,Payment,19,2
40,127,Delivery,13,2
41,958,Payment,68,4
42,798,Payment,61,2
43,385,Delivery,13,3
44,780,Delivery,58,3
45,504,Delivery,47,4
46,278,Delivery,7,1
47,422,Product,32,2
48,559,Delivery,36,3
49,989,Delivery,58,1
50,652,Delivery,66,3
51,798,Delivery,32,2
52,88,Payment,39,1
53,827,Product,12,5
54,504,Payment,59,1
55,810,Payment,32,3
56,58,Payment,27,2
57,689,Payment,4,4
58,536,Delivery,54,2
59,695,Product,23,4
60,587,Delivery,31,2
61,766,Payment,41,3
62,2,Delivery,58,2
63,943,Payment,69,4
64,865,Payment,5,2
65,593,Payment,34,1
66,978,Product,60,3
67,151,Product,6,5
68,455,Product,23,1
69,420,Delivery,8,5
70,854,Delivery,11,2
71,449,Delivery,39,3
72,180,Product,21,4
73,355,Delivery,32,3
74,579,Product,58,1
75,593,Delivery,49,2
76,468,Product,40,5
77,449,Delivery,62,1
78,369,Delivery,71,4
79,502,Product,65,2
80,38,Product,45,3
81,936,Payment,66,1
82,739,Delivery,30,5
83,466,Delivery,14,5
84,167,Payment,45,5
85,877,Product,57,3
86,194,Product,28,2
87,989,Payment,15,4
88,972,Payment,43,4
89,619,Payment,64,1
90,809,Delivery,33,5
91,269,Delivery,63,2
92,742,Product,72,2
93,164,Delivery,9,4
94,722,Delivery,41,3
95,947,Product,69,1
96,317,Payment,56,4
97,502,Payment,12,5
98,618,Payment,35,2
99,339,Delivery,69,3
100,693,Payment,16,3
101,602,Payment,10,3
102,588,Delivery,24,1
103,931,Product,63,5
104,586,Delivery,27,5
105,948,Product,36,5
106,782,Product,36,5
107,308,Payment,30,5
108,268,Payment,43,1
109,447,Delivery,16,2
110,26,Payment,16,4
111,915,Product,37,4
112,345,Product,7,1
113,251,Delivery,31,4
114,523,Payment,56,2
115,782,Delivery,9,2
116,499,Payment,4,1
117,929,Product,10,4
118,226,Product,66,2
119,88,Product,56,1
120,10,Delivery,4,5
121,231,Delivery,49,1
122,988,Payment,39,2
123,386,Delivery,35,2
124,904,Payment,68,3
125,784,Payment,53,1
126,249,Product,61,3
127,782,Product,23,4
128,847,Product,29,3
129,872,Delivery,55,1
130,878,Payment,24,4
131,691,Payment,39,2
132,461,Product,34,5
133,975,Delivery,6,3
134,137,Product,71,5
135,43,Product,59,5
136,230,Delivery,2,2
137,721,Delivery,7,1
138,703,Delivery,63,2
139,113,Product,42,5
140,376,Product,67,1
141,678,Product,44,5
142,193,Product,35,3
143,743,Delivery,72,1
144,809,Product,41,3
145,810,Payment,58,1
146,318,Delivery,25,2
147,428,Product,26,4
148,637,Delivery,16,4
149,841,Payment,38,1
150,663,Delivery,67,1
151,460,Delivery,39,4
152,834,Delivery,8,4
153,694,Delivery,26,5
154,162,Payment,21,1
155,332,Product,24,1
156,87,Payment,69,4
157,599,Payment,12,3
158,6,Product,33,5
159,174,Product,56,4
160,323,Delivery,42,5
161,999,Payment,9,3
162,624,Payment,45,1
